[1DavDULPLdTPbccG3xA2YeoU2xNqfriTdn;2785000000]:[1dVJ3G3eUCtQW5dRf9zFf7y9i8Z9tVHqY;2754000000,1CcAEFn2ESfMoJXtUnBGCbzX4xC4TS9xEp;31000000]
[1E3vtgmQL9jYDa6WpttExELYgbbbjCp2gF;174000000]:[17Yn4xmRnvU291cpveHQk1vDUkLh3byadJ;73000000,1PhPw32YpF1nPRx8hPqCnMdrSrNiwntWtV;100000000]
[14JCimQH1BcBqxVT7wyBpjkpNb7s4Fe1a1;10000000]:[1MTR8eVCKTkNd6Cwsdxfwba8386U3cTht6;4950000,15obQizKJJcNesnRadQhWE2cjAFZoYKnJo;5000000]
[1BtpegJzaLaBRxyrqouBXLxeknHpTkcyYm;312137800000]:[1GqcqLJBfnwLyG2Rs32KnAvbJxR4LGYHph;309125750000,1ArRfXtvaFwV2wKKVN4qWz21Mzry4id439;3012000000]
[1KQr7QQLX668XykfVGQRMc6mhG9MPikTDF;65000000]:[15DFU7KoiRPNSB4ApLLtvdg6U8KpkWUEf3;14000000,1BfX791SmFMLZyE7UpzjsgoiEytX9yEowg;50000000]
[12gYYmhiiLCPskbADVX2vASLTQyHiuufJQ;91286317773]:[1HPhV44FkhcGki4TPCYsMnNzeqcTS6b44N;91227317773,1MGJnhtcRRKWZxSakh4gA8VT5AUZ7v1Lmf;59000000]
[1AH3u8RGyBmWxSM4idA7VAxzAZyK5KjSGS;61312856657]:[1HqLEbEqc5RbbPfP8zBAiwevbQ7bx6gD6m;61311856657,12Z8dU3qpFJgZdp3RXPM6bLHM57AUmg3rm;1000000]
[1KU4na3TDEDwK238LpSMpHR4briQSftUGZ;4486113966]:[1BLajqcWXGDZjNu8QqTecy2LR1UhihtgFj;4046381057,16X9Snrvtdd93632o7JFneL35dVeXVxL7M;439732909]
[1Pkhm7Bgfqu7vHX6CApUdJZK3151SVVa2h;4673050000]:[1GZXH2xbmpMSaMiuKK8VAG5tkGRyYdZX8Z;4283050000,1KZNArXErD3FGgcDxoZ1Y7DzRTTo44L1gX;390000000]
[16Tm8cc9N5w2VpxcdVRsQDe3LRxdeCdJpe;3737000000]:[1H7U1vFQxd4sjq8iYW8X74vbkaaNR3Um8D;3736000000,1MAazCWMydsQB5ynYXqSGQDjNQMN3HFmEu;1000000]
[17he4D1xJKMQ6dfamnKXQkPuxtDbzoKEj9;70100000]:[19ZScgmVCyRVwVoiyqnK464gGmogouHCaK;20050000,1AewMP1c9jBkfYwkRhJaHp8VCacnvnhEPG;50000000]
[1F3QgsL3N7gTyYZvshw4LSkb9dvsrVfd6s;21633000000]:[17a7GSXvE1FD6zjZ9GRyzcAkLZ6d3Qpiqe;21404000000,1Dwd2BrbithyPvHLVbWyVP4nB3Z3qdq5HA;229000000]
[19rp9stgykJ1Zr1WUq1z8qkCgPuQaSoDD9;300000000]:[1PYk1udhSB67cvyqprCncbRRfS2FJVcE4c;300000000]
[14RgYRY2UymHA9gqqFWKkSJUbTQM4iZvts;468150060]:[1FQrjBxJtzZz5xNTrHNQv54UFXsJDKwJoP;263150060,1KUdttsp4nahT95H3FTK1rCgHKQ8RYCagJ;205000000]
[1832oSQn8Sp1Sm9QSK1idEiWKDrXHW9SuB;4877369204]:[1HfbyDmArNbxjP2p68qoiehmrXTsDhPB2L;4832369204,1XBn48VqNEekvzNmAjSiCyF63qnzvM9SG;45000000]
[1HrhriQSG64KjwPuxmoh95VJaxghVpUp7E;7068100000]:[1A1wyXbeALAHSRpBvRJpr2FJWV8wqXERNZ;7009100000,1NeV39pAyNUVZSgswNopYaaPyq1a8WPNv3;59000000]
[1LAsjmxFtJNxHi3sBHT4QkwjqAeYimbR9W;372950000]:[13At86xBUZzXRgc8MFaxdzHoGi9nCr9Lfd;341950000,1A5ANdnJuLz1bHCJm3uFtzu7frLzGiVCjC;31000000]
[1EH43mAjaXKr9ZWU4Auuc811uyPhrvTKMU;4378600000]:[1CB8fkb3ApimE21duSm56QsiMzKNWpSTxU;4250600000,1Ntdgzwgy4SnH95H2FTUfWrk2sgjnf9vpo;127000000]
[1CxjYUcBFmBftskGFST9MXhyQMQUNTuBzi;5005750000]:[12pyu8Ykrb1MCCMfxFVJa5yoPHYFGWGQKo;4693750000,17PLpTPoWoDWN7J3jQRw95KY6M1KanYm73;312000000]
[16rhzdgdb282N8c3nN6TU7YQwQBnz1cQ9;600000000]:[1JDduEUdBtVzfTqSQ8whkiDWfB9wfiY4Kv;400000000,18u3TMAznatZLuKYcoG6R8fFGgBf5KTcBv;200000000]
[1DL7BnNqnsbeoWSzE3BpMGcBkrxeMWWAwz;2628000000]:[1MkEyaR36dceZ3nkP471BSr6NsiFJpoc4y;2607000000,1MNhiXqMjfSsPnjTRuU8R3cgisxnPSETrM;21000000]
[1Dpt6FnHG73GiJhPdeQnQeoXzNXi5b2cyL;4849000000]:[1Ap8GDx6p5gWyGbcBbPoE2Qi4e9uJQF6Si;4743000000,1KvHyqALsUsebppLYV18TVeMUxp1CLhCDB;106000000]
[15DzADzZM6ZX8refLqMioCLFJWJWhCJpBy;707150000]:[13PuASMGdGLke6hrUUGmYNbPLjdJca9XD3;616150000,1GyYzn65rgkcr8qcscjNmcxcqfpEjWxLzb;90000000]
[1L9xmPuFK88mawyrmVzPo99g2Qjpn1YEAT;48000000]:[1G7PsFfUfu8WKEE5R6SAFukDgoBgSNWRm;47000000]
[1L4J1Rqkaguexr8ikDxQ3Dz1CZzh9q21fv;30420608772]:[1EHAfwACNULCsudqNhrNSwMzEJbbixRi83;30408608772,1GZz62tM8PURmbb6VVQMDmEtLPNvaeFdXg;12000000]
[1DbSGz9mq7ECnR59JBY39PXzy8yCYjCYsB;1975619522]:[1MottMoPY72hKV17fstkCDzuJX9GMJHaKj;1952619522,15ujjTLiQbryVB8YauhTgK5LnnRGkfUARW;23000000]
[137sRdaXqHrao1JxjeuabfmAbtTCKL3kbD;729550000]:[16pNNikwkj2WmSFuX41h7SugY4tw35W72C;727550000,16XM76iSFe9ixcekYu1EHDCnrR7erSVJbH;2000000]
[18Yy4CQdi2RXhKjvGRBKQHjkUJ1d3hcQpd;208818653]:[1MLnYJ6UpaqUEqFYizsmtQ6UX7Ug6J3MA2;193818653,14AtoD6ixHiFYghXjfyKdUFR4QxouDwT88;15000000]
